,model_name,model,train_score,test_score,recall,specificity,precision,train_auc,test_auc,is_tuned
0,lr_base_multi,lr,0.8259796806966618,0.775990099009901,0.6048387096774194,0.7852173913043479,0.13181019332161686,0.8874044228083443,0.7729926367461429,False
1,svm_base_multi,svm,0.9298984034833091,0.8535478547854786,0.45161290322580644,0.8752173913043478,0.16326530612244897,0.9783968162352202,0.777312412342216,False
2,xg_base_multi,xgb,0.978011611030479,0.9422442244224423,0.0967741935483871,0.9878260869565217,0.3,0.9974362836276467,0.8528962131837308,False
3,rf_base_multi,rf,0.9918722786647315,0.9434818481848185,0.07258064516129033,0.9904347826086957,0.2903225806451613,0.9997484522487946,0.7970950210378681,False
4,et_base_multi,et,0.9918722786647315,0.9426567656765676,0.06451612903225806,0.99,0.25806451612903225,0.9998393056131918,0.70117110799439,False
5,gb_base_multi,gb,0.9555152394775036,0.9377062706270627,0.20161290322580644,0.9773913043478261,0.3246753246753247,0.9905579909041311,0.8335729312762974,False
6,ada_base_multi,ada,0.9322931785195936,0.9129537953795379,0.3870967741935484,0.941304347826087,0.26229508196721313,0.9820600415823189,0.8415410238429173,False
7,lr_base_reg,lr,0.8057329462989841,0.7541254125412541,0.5887096774193549,0.7630434782608696,0.11812297734627832,0.8751527212826059,0.7461448106591865,False
8,svm_base_reg,svm,0.9130624092888244,0.8407590759075908,0.4274193548387097,0.8630434782608696,0.14402173913043478,0.9712810577160058,0.7514708976157083,False
9,xg_base_reg,xgb,0.9776487663280116,0.9426567656765676,0.08064516129032258,0.9891304347826086,0.2857142857142857,0.9971802490304831,0.8572072230014025,False
10,rf_base_reg,rf,0.9918722786647315,0.9418316831683168,0.06451612903225806,0.9891304347826086,0.24242424242424243,0.9997510643093522,0.7902559607293127,False
11,et_base_reg,et,0.9918722786647315,0.941006600660066,0.07258064516129033,0.9878260869565217,0.24324324324324326,0.9998393056131918,0.6866374474053296,False
12,gb_base_reg,gb,0.9613207547169811,0.9389438943894389,0.12903225806451613,0.9826086956521739,0.2857142857142857,0.9908925453055584,0.8262903225806452,False
13,ada_base_reg,ada,0.9402757619738752,0.9261551155115512,0.18548387096774194,0.9660869565217391,0.22772277227722773,0.9831208330787979,0.8237394810659187,False
